"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     
          0,           0,           0,      -20.00608292,      -20.00608292,               -32,      -5.216492762
          0,           0,           1,      -4.855227592,      -5.741709017,      -7.489179055,       -3.05945619
          0,           0,           2,      -5.095027317,      -5.342332372,      -5.034205802,      -3.299208681
          0,           0,           3,      -5.386872355,      -5.226469129,      -5.232889687,      -3.590579774
          0,           0,           4,      -5.357379428,        -5.3262964,      -5.205429147,      -3.561559255
          0,           0,           5,      -5.423017742,      -5.472906951,      -5.207245006,      -3.627345228
          0,           0,           6,      -5.592086915,      -5.567319324,      -5.411266119,      -3.796054248
          0,           0,           7,      -5.639899105,      -5.578689235,      -5.397294619,      -3.843235595
          0,           0,           8,      -5.765786296,      -5.811374709,      -5.571351596,      -3.968666857
          0,           0,           9,      -5.812506083,      -5.831757093,      -5.644032629,      -4.015677512
          0,           0,          10,      -5.957793738,       -5.96534651,      -5.756670732,      -4.160684034
          0,           0,          11,      -6.059195508,      -5.957059788,       -5.85032254,      -4.264715533
          0,           0,          12,       -6.20711731,      -6.055394826,      -5.977771047,      -4.418250746
          0,           0,          13,      -6.295096311,      -6.106403479,       -6.05841642,      -4.506798679
          0,           0,          14,      -6.415287249,       -6.23649842,      -6.168143058,      -4.630564523
          0,           0,          15,      -6.494793308,      -6.354526835,      -6.218559686,      -4.703558491
          0,           0,          16,      -6.607638058,      -6.472454963,        -6.3279235,      -4.820360569
          0,           0,          17,      -6.700402508,      -6.580164922,      -6.416881184,        -4.9099749
          0,           0,          18,      -6.803326067,      -6.721551585,      -6.526299796,      -5.012595065
          0,           0,          19,      -6.896013752,      -6.811162576,      -6.624053322,      -5.104203396
          0,           0,          20,      -6.982047062,      -6.950368212,       -6.71990879,      -5.189368078
          0,           0,          21,      -7.046709166,      -7.047394024,      -6.780765949,      -5.253572727
          0,           0,          22,      -7.121351608,      -7.108410059,      -6.865689442,      -5.327722589
          0,           0,          23,      -7.201709981,      -7.201615386,       -6.95070156,      -5.407384194
          0,           0,          24,      -7.262838894,      -7.302512884,      -7.013834026,      -5.468317058
          0,           0,          25,      -7.324114044,      -7.366865184,      -7.072161752,      -5.529271186
          0,           0,          26,      -7.382800388,      -7.447087845,      -7.128201674,      -5.587844363
          0,           0,          27,       -7.44686563,      -7.513879062,      -7.192480586,      -5.651565175
          0,           0,          28,       -7.50600232,       -7.55711827,      -7.257618851,      -5.710684141
          0,           0,          29,      -7.571432704,      -7.642956163,      -7.323183341,       -5.77599243
          0,           0,          30,      -7.622464132,      -7.721516711,      -7.372421686,      -5.827037596
          0,           0,          31,      -7.678423802,      -7.773251448,      -7.424107441,      -5.883066862
          0,           0,          32,      -7.728164341,      -7.816935297,      -7.475029621,      -5.932603084
          0,           0,          33,      -7.781373376,      -7.875245917,      -7.526031754,      -5.985746287
          0,           0,          34,       -7.82842368,      -7.915933547,      -7.573731903,      -6.032926205
          0,           0,          35,      -7.879412674,      -7.968958405,      -7.621465084,      -6.083777624
