"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     
          0,           0,          76,      -10.11796291,      -9.978663899,      -9.744633363,      -8.332783659
          0,           0,          77,      -10.16121358,      -10.02613131,      -9.788035476,      -8.375654875
          0,           0,          78,      -10.20427292,      -10.07335216,      -9.831226595,      -8.418331571
          0,           0,          79,      -10.24726914,      -10.12047998,       -9.87429701,      -8.460955997
          0,           0,          80,      -10.29014978,      -10.16753604,       -9.91719998,      -8.503476214
          0,           0,          81,      -10.33286177,      -10.21451345,      -9.959914232,      -8.545834944
          0,           0,          82,      -10.37550618,      -10.26145568,      -10.00252857,      -8.588134705
          0,           0,          83,      -10.41816204,      -10.30834956,      -10.04513918,      -8.630459577
          0,           0,          84,       -10.4607398,      -10.35509487,      -10.08771172,      -8.672717447
          0,           0,          85,       -10.5031447,      -10.40159415,      -10.13018537,      -8.714812073
          0,           0,          86,      -10.54537049,      -10.44784468,      -10.17253093,      -8.756736586
          0,           0,          87,      -10.58745211,      -10.49388389,      -10.21474529,      -8.798523188
          0,           0,          88,      -10.62939243,      -10.53976158,      -10.25682982,      -8.840175903
          0,           0,          89,      -10.67121493,      -10.58555438,      -10.29879482,      -8.881722394
          0,           0,          90,      -10.71292939,      -10.63127054,      -10.34064767,      -8.923171352
          0,           0,          91,      -10.75453634,      -10.67686406,      -10.38240509,      -8.964517911
          0,           0,          92,      -10.79612643,      -10.72235554,      -10.42416354,      -9.005857673
          0,           0,          93,      -10.83778014,      -10.76779163,      -10.46598556,      -9.047274644
          0,           0,          94,      -10.87943584,       -10.8131362,      -10.50782578,       -9.08870229
          0,           0,          95,      -10.92108386,      -10.85838022,      -10.54968255,      -9.130130092
          0,           0,          96,      -10.96285101,      -10.90362108,      -10.59163361,      -9.171689934
          0,           0,          97,      -11.00471701,      -10.94888824,      -10.63365082,      -9.213358129
          0,           0,          98,      -11.04654904,      -10.99407372,      -10.67565489,      -9.254998106
          0,           0,          99,      -11.08836355,      -11.03913774,      -10.71765962,      -9.296631729
          0,           0,         100,      -11.13014673,      -11.08408327,      -10.75962781,      -9.338242292
          0,           0,         101,       -11.1717381,      -11.12878405,      -10.80145194,      -9.379661051
          0,           0,         102,      -11.21312609,      -11.17319811,      -10.84313169,      -9.420882414
          0,           0,         103,      -11.25441071,      -11.21745285,      -10.88470327,      -9.462011325
          0,           0,         104,      -11.29549561,      -11.26152752,      -10.92608467,      -9.502940659
          0,           0,         105,      -11.33634244,      -11.30535332,      -10.96727894,      -9.543633507
          0,           0,         106,      -11.37717379,      -11.34908944,      -11.00843697,      -9.584324167
          0,           0,         107,      -11.41799582,      -11.39277648,      -11.04954239,      -9.625010336
          0,           0,         108,      -11.45862748,      -11.43623243,      -11.09050703,      -9.665504044
          0,           0,         109,      -11.49928671,      -11.47956607,      -11.13150599,      -9.706037723
          0,           0,         110,      -11.54014348,      -11.52298498,      -11.17262519,      -9.746779128
          0,           0,         111,      -11.58092128,      -11.56631864,      -11.21368901,      -9.787436967
          0,           0,         112,      -11.62170723,      -11.60955667,      -11.25479964,      -9.828111365
          0,           0,         113,      -11.66279186,      -11.65298878,      -11.29612806,      -9.869100517
          0,           0,         114,      -11.70385748,      -11.69642119,      -11.33743621,      -9.910066009
          0,           0,         115,      -11.74474206,      -11.73956796,      -11.37865928,       -9.95084997
          0,           0,         116,      -11.78579843,       -11.7827062,      -11.42002029,       -9.99182407
          0,           0,         117,      -11.82685292,      -11.82583212,      -11.46133858,      -10.03279626
          0,           0,         118,      -11.86753337,      -11.86855035,      -11.50240015,      -10.07338476
          0,           0,         119,       -11.9081797,      -11.91108379,      -11.54345267,      -10.11395485
          0,           0,         120,      -11.94896329,      -11.95376358,      -11.58453607,      -10.15467112
          0,           0,         121,      -11.98942463,      -11.99619589,       -11.6253556,      -10.19505099
          0,           0,         122,      -12.02968901,      -12.03830394,      -11.66606845,      -10.23524225
          0,           0,         123,      -12.07024396,        -12.080609,      -11.70695425,      -10.27574231
          0,           0,         124,      -12.11068268,      -12.12283713,      -11.74769449,      -10.31611325
          0,           0,         125,      -12.15078252,      -12.16460446,      -11.78823191,       -10.3561422
          0,           0,         126,      -12.19123508,      -12.20656818,      -11.82903366,       -10.3965477
          0,           0,         127,      -12.23185734,      -12.24877668,      -11.86989223,      -10.43711827
          0,           0,         128,      -12.27205822,      -12.29056243,      -11.91048374,      -10.47725272
          0,           0,         129,      -12.31250817,      -12.33240288,      -11.95129432,      -10.51765832
          0,           0,         130,      -12.35337362,      -12.37471605,      -11.99236066,      -10.55848788
          0,           0,         131,      -12.39380854,      -12.41665304,      -12.03313145,      -10.59886519
          0,           0,         132,      -12.43414045,      -12.45820063,      -12.07387607,      -10.63915119
          0,           0,         133,      -12.47492973,      -12.50016486,      -12.11492467,      -10.67991549
          0,           0,         134,      -12.51546882,      -12.54199631,      -12.15572993,      -10.72040925
          0,           0,         135,      -12.55556649,      -12.58322238,      -12.19626442,        -10.760458
          0,           0,         136,      -12.59602251,      -12.62472432,      -12.23707553,      -10.80089334
          0,           0,         137,      -12.63660022,       -12.6664786,      -12.27784846,      -10.84144035
          0,           0,         138,      -12.67659935,      -12.70764911,      -12.31823901,      -10.88139029
          0,           0,         139,      -12.71676204,      -12.74875804,      -12.35880804,       -10.9215304
          0,           0,         140,      -12.75738676,      -12.79037655,      -12.39960598,      -10.96213831
          0,           0,         141,       -12.7974532,      -12.83151619,      -12.43999189,      -11.00216051
          0,           0,         142,      -12.83741431,       -12.8722245,      -12.48034877,      -11.04209253
          0,           0,         143,      -12.87807396,      -12.91372106,      -12.52118197,      -11.08274499
          0,           0,         144,      -12.91841896,      -12.95510005,      -12.56173806,      -11.12305662
          0,           0,         145,      -12.95834206,      -12.99576661,      -12.60203603,      -11.16294406
          0,           0,         146,      -12.99895758,      -13.03712413,      -12.64286066,      -11.20355535
          0,           0,         147,      -13.03965362,      -13.07872852,      -12.68365071,      -11.24423265
          0,           0,         148,      -13.07966502,      -13.11950147,      -12.72401172,       -11.2842058
          0,           0,         149,       -13.1200118,      -13.16035664,      -12.76464276,      -11.32454427
          0,           0,         150,      -13.16078753,      -13.20175521,      -12.80547173,      -11.36531484
          0,           0,         151,      -13.20093788,       -13.2426619,      -12.84586316,       -11.4054302
