"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     
          0,           0,          76,      -9.973966448,      -10.14298067,      -9.830842831,       -8.17830833
          0,           0,          77,      -10.01469765,      -10.18413347,      -9.872561453,      -8.219040715
          0,           0,          78,      -10.05540806,      -10.22562481,      -9.914158059,      -8.259753318
          0,           0,          79,      -10.09612156,      -10.26727499,       -9.95574209,      -8.300468553
          0,           0,          80,      -10.13679806,      -10.30895598,      -9.997291042,      -8.341146786
          0,           0,          81,      -10.17742641,      -10.35048695,      -10.03878347,      -8.381777366
          0,           0,          82,      -10.21797941,      -10.39163477,      -10.08019163,      -8.422331923
          0,           0,          83,      -10.25844466,      -10.43243393,       -10.1214592,      -8.462798595
          0,           0,          84,      -10.29886707,      -10.47303118,      -10.16261142,      -8.503222563
          0,           0,          85,      -10.33927009,      -10.51365784,      -10.20368472,       -8.54362721
          0,           0,          86,      -10.37965881,      -10.55446861,      -10.24466869,      -8.584017689
          0,           0,          87,      -10.42005568,       -10.5954219,      -10.28563011,      -8.624416055
          0,           0,          88,      -10.46043175,      -10.63643624,      -10.32655546,      -8.664793899
          0,           0,          89,      -10.50076711,      -10.67736708,      -10.36741006,      -8.705130843
          0,           0,          90,      -10.54104346,      -10.71803732,      -10.40817428,      -8.745408863
          0,           0,          91,      -10.58126228,      -10.75846033,      -10.44884918,      -8.785629004
          0,           0,          92,       -10.6214503,      -10.79876256,      -10.48945974,      -8.825818257
          0,           0,          93,       -10.6616234,      -10.83905343,      -10.53002311,      -8.865993001
          0,           0,          94,       -10.7017888,      -10.87942608,      -10.57054077,      -8.906159767
          0,           0,          95,      -10.74195841,      -10.91990531,      -10.61103921,      -8.946330897
          0,           0,          96,      -10.78211194,      -10.96041941,      -10.65149397,      -8.986485936
          0,           0,          97,      -10.82222961,      -11.00086521,      -10.69188268,      -9.026604883
          0,           0,          98,      -10.86231289,       -11.0411583,       -10.7322065,      -9.066689731
          0,           0,          99,      -10.90235626,      -11.08130296,      -10.77245596,      -9.106734294
          0,           0,         100,      -10.94237461,      -11.12137505,      -10.81266604,      -9.146753886
          0,           0,         101,      -10.98238714,      -11.16142852,      -10.85285976,      -9.186767833
          0,           0,         102,      -11.02238722,      -11.20151064,       -10.8930118,      -9.226769112
          0,           0,         103,      -11.06238943,      -11.24164774,      -10.93315181,      -9.266772787
          0,           0,         104,      -11.10238793,      -11.28179965,       -10.9732726,      -9.306772538
          0,           0,         105,      -11.14235505,      -11.32190883,      -11.01333542,      -9.346740884
          0,           0,         106,      -11.18230555,      -11.36194391,       -11.0533661,      -9.386692739
          0,           0,         107,      -11.22222854,      -11.40188755,      -11.09332944,      -9.426616853
          0,           0,         108,      -11.26212608,      -11.44177877,      -11.13324626,      -9.466515627
          0,           0,         109,      -11.30203016,      -11.48167463,      -11.17318807,      -9.506420921
          0,           0,         110,      -11.34191835,      -11.52155744,      -11.21308546,      -9.546310239
          0,           0,         111,      -11.38179899,      -11.56144098,      -11.25295535,      -9.586192174
          0,           0,         112,      -11.42169301,      -11.60135715,      -11.29284675,      -9.626087339
          0,           0,         113,       -11.4615583,      -11.64123766,      -11.33267364,      -9.665953769
          0,           0,         114,      -11.50141143,      -11.68108549,      -11.37248977,      -9.705808093
          0,           0,         115,      -11.54125974,      -11.72088839,      -11.41227341,       -9.74565747
          0,           0,         116,      -11.58107853,      -11.76064312,      -11.45198518,        -9.7854774
          0,           0,         117,      -11.62090956,       -11.8004284,      -11.49174746,      -9.825309557
          0,           0,         118,      -11.66073821,      -11.84018536,      -11.53148687,      -9.865139264
          0,           0,         119,       -11.7005391,      -11.87990735,      -11.57116724,       -9.90494127
          0,           0,         120,      -11.74036412,      -11.91965564,      -11.61088029,      -9.944767364
          0,           0,         121,      -11.78017434,      -11.95938195,      -11.65055129,      -9.984578613
          0,           0,         122,      -11.81996657,      -11.99910841,      -11.69021064,      -10.02437193
          0,           0,         123,      -11.85977606,      -12.03880062,      -11.72986314,      -10.06418243
          0,           0,         124,      -11.89955877,      -12.07847891,        -11.769462,      -10.10396614
          0,           0,         125,      -11.93934875,      -12.11816467,      -11.80906828,      -10.14375715
          0,           0,         126,      -11.97915637,      -12.15783728,      -11.84870215,      -10.18356576
          0,           0,         127,      -12.01893149,      -12.19749388,      -11.88828322,      -10.22334187
          0,           0,         128,      -12.05872223,      -12.23709573,      -11.92782873,      -10.26313353
          0,           0,         129,       -12.0985168,      -12.27674985,       -11.9674164,      -10.30292902
          0,           0,         130,      -12.13829816,      -12.31638423,      -12.00694911,      -10.34271136
          0,           0,         131,       -12.1781007,      -12.35599226,      -12.04649248,      -10.38251481
          0,           0,         132,      -12.21789179,      -12.39565863,      -12.08604659,      -10.42230678
          0,           0,         133,      -12.25768855,       -12.4352307,      -12.12550916,      -10.46210439
          0,           0,         134,      -12.29750247,      -12.47487782,      -12.16507678,      -10.50191919
          0,           0,         135,      -12.33731293,      -12.51449175,      -12.20458673,      -10.54173055
          0,           0,         136,      -12.37712129,      -12.55400998,      -12.24402001,      -10.58153969
          0,           0,         137,      -12.41693494,      -12.59366003,      -12.28355447,      -10.62135404
          0,           0,         138,      -12.45676187,      -12.63316697,      -12.32295433,      -10.66118181
          0,           0,         139,      -12.49659825,      -12.67279356,      -12.36245736,        -10.701019
          0,           0,         140,      -12.53644963,      -12.71242984,      -12.40194187,      -10.74087105
          0,           0,         141,      -12.57630366,      -12.75192471,      -12.44131883,      -10.78072584
          0,           0,         142,      -12.61616653,      -12.79161755,      -12.48085059,      -10.82058926
          0,           0,         143,      -12.65606051,      -12.83109873,       -12.5202264,      -10.86048404
          0,           0,         144,      -12.69594584,      -12.87070246,      -12.55968489,      -10.90037009
          0,           0,         145,      -12.73583653,      -12.91031185,      -12.59910697,      -10.94026105
          0,           0,         146,       -12.7757474,      -12.94971889,       -12.6384141,       -10.9801727
          0,           0,         147,      -12.81567943,      -12.98946706,      -12.67793884,      -11.02010529
          0,           0,         148,      -12.85564018,      -13.02894782,      -12.71724804,      -11.06006649
          0,           0,         149,       -12.8955988,      -13.06856842,      -12.75670038,      -11.10002582
          0,           0,         150,       -12.9355806,      -13.10822293,      -12.79611782,      -11.14000762
          0,           0,         151,      -12.97558122,      -13.14758067,       -12.8353722,      -11.18000895
          0,           0,         152,      -13.01560795,      -13.18739718,      -12.87493414,       -11.2200363
          0,           0,         153,      -13.05564361,      -13.22682244,      -12.91414282,      -11.26007177
          0,           0,         154,      -13.09566366,      -13.26637352,      -12.95352298,       -11.3000925
          0,           0,         155,      -13.13576192,      -13.30609353,      -12.99295003,      -11.34019092
          0,           0,         156,       -13.1758664,      -13.34546079,      -13.03213053,      -11.38029562
          0,           0,         157,      -13.21598104,      -13.38536613,      -13.07172765,      -11.42041086
          0,           0,         158,      -13.25614693,       -13.4247688,      -13.11090681,      -11.46057622
          0,           0,         159,      -13.29627425,      -13.46430086,      -13.15024243,      -11.50070404
          0,           0,         160,       -13.3364977,      -13.50410392,      -13.18971019,      -11.54092782
          0,           0,         161,      -13.37672662,      -13.54343439,      -13.22882668,      -11.58115643
          0,           0,         162,      -13.41689983,      -13.58331992,      -13.26834951,      -11.62132979
          0,           0,         163,      -13.45720009,       -13.6226905,      -13.30747618,      -11.66162984
          0,           0,         164,      -13.49748339,      -13.66233099,      -13.34682272,      -11.70191324
          0,           0,         165,      -13.53780147,      -13.70224263,       -13.3862958,      -11.74223145
          0,           0,         166,      -13.57817595,      -13.74149605,      -13.42537958,      -11.78260536
          0,           0,         167,      -13.61848424,      -13.78142811,      -13.46490512,      -11.82291349
          0,           0,         168,      -13.65891166,      -13.82078845,      -13.50398196,      -11.86334091
          0,           0,         169,      -13.69936154,       -13.8604917,      -13.54337338,      -11.90379055
          0,           0,         170,      -13.73975381,      -13.90040868,      -13.58276137,      -11.94418195
          0,           0,         171,      -13.78023597,      -13.93951745,       -13.6217095,      -11.98466413
          0,           0,         172,       -13.8207487,      -13.97966129,      -13.66134832,      -12.02517627
          0,           0,         173,      -13.86128576,      -14.01909485,      -13.70036835,      -12.06571286
          0,           0,         174,      -13.90186573,      -14.05875826,      -13.73976384,      -12.10629281
          0,           0,         175,      -13.94242592,      -14.09872707,      -13.77918564,      -12.14685127
          0,           0,         176,      -13.98301513,      -14.13772362,      -13.81799193,      -12.18744056
          0,           0,         177,      -14.02371084,      -14.17803064,      -13.85776017,      -12.22813591
          0,           0,         178,      -14.06435934,      -14.21746424,      -13.89670571,      -12.26878299
          0,           0,         179,      -14.10499322,      -14.25695573,      -13.93592345,      -12.30941654
          0,           0,         180,      -14.14577132,      -14.29711606,      -13.97546935,      -12.35019356
          0,           0,         181,      -14.18650217,      -14.33618446,      -14.01422318,      -12.39092344
          0,           0,         182,      -14.22729306,       -14.3765352,      -14.05401807,      -12.43171446
          0,           0,         183,      -14.26812219,      -14.41594975,      -14.09299507,      -12.47254134
          0,           0,         184,      -14.30884662,      -14.45531586,      -14.13206404,      -12.51326506
          0,           0,         185,      -14.34978382,      -14.49562527,      -14.17170764,      -12.55420189
          0,           0,         186,      -14.39066943,      -14.53471932,      -14.21045576,      -12.59508495
          0,           0,         187,      -14.43146927,      -14.57494708,      -14.25007838,      -12.63588493
          0,           0,         188,       -14.4724724,      -14.61440941,      -14.28908871,      -12.67688553
          0,           0,         189,      -14.51338244,      -14.65391172,      -14.32819365,      -12.71779522
          0,           0,         190,      -14.55437924,      -14.69430708,      -14.36783799,      -12.75879019
          0,           0,         191,      -14.59542183,      -14.73332331,      -14.40661247,      -12.79983146
          0,           0,         192,      -14.63631508,      -14.77347129,      -14.44614851,      -12.84072341
          0,           0,         193,      -14.67741714,      -14.81295921,      -14.48514122,      -12.88182466
          0,           0,         194,      -14.71850329,      -14.85255082,      -14.52432701,      -12.92290894
          0,           0,         195,      -14.75949802,      -14.89289295,      -14.56384371,       -12.9639011
          0,           0,         196,      -14.80062348,      -14.93179945,       -14.6025347,      -13.00502565
          0,           0,         197,      -14.84172815,      -14.97213692,      -14.64219301,      -13.04612808
          0,           0,         198,      -14.88287374,      -15.01171405,      -14.68116112,      -13.08727241
          0,           0,         199,      -14.92406145,        -15.051229,      -14.72036895,      -13.12845837
          0,           0,         200,      -14.96515952,      -15.09152598,      -14.75987776,      -13.16955476
          0,           0,         201,      -15.00630777,      -15.13032186,       -14.7984375,      -13.21070193
          0,           0,         202,       -15.0475746,      -15.17078886,      -14.83821569,      -13.25196461
          0,           0,         203,      -15.08874352,      -15.21037903,      -14.87713647,      -13.29313057
          0,           0,         204,      -15.12990798,      -15.24970257,      -14.91617306,      -13.33429661
          0,           0,         205,      -15.17119972,      -15.29015743,      -14.95582329,      -13.37558106
          0,           0,         206,      -15.21240585,      -15.32905254,         -14.99438,       -13.4167878
          0,           0,         207,       -15.2537027,      -15.36946902,      -15.03415914,      -13.45808687
          0,           0,         208,       -15.2949646,      -15.40903531,      -15.07313311,      -13.49934031
          0,           0,         209,      -15.33609733,      -15.44815678,      -15.11199398,      -13.54048038
          0,           0,         210,      -15.37749317,      -15.48871934,      -15.15173204,        -13.581863
          0,           0,         211,      -15.41875048,      -15.52768772,      -15.19032355,      -13.62312412
          0,           0,         212,      -15.45994586,      -15.56790117,      -15.22990571,      -13.66431481
          0,           0,         213,      -15.50133249,      -15.60755316,       -15.2689835,      -13.70569722
          0,           0,         214,       -15.5425519,      -15.64678696,      -15.30788661,      -13.74691217
          0,           0,         215,      -15.58391319,      -15.68733395,      -15.34760983,      -13.78827749
          0,           0,         216,      -15.62524527,      -15.72627206,      -15.38627863,       -13.8295976
          0,           0,         217,      -15.66638771,      -15.76627746,      -15.42570409,      -13.87074097
          0,           0,         218,      -15.70778564,      -15.80593489,      -15.46479605,      -13.91213644
          0,           0,         219,       -15.7490845,      -15.84528824,      -15.50377886,      -13.95342752
          0,           0,         220,      -15.79029427,      -15.88569606,      -15.54334762,      -13.99464585
          0,           0,         221,      -15.83164346,      -15.92462589,       -15.5820583,      -14.03598005
          0,           0,         222,      -15.87288055,      -15.96470778,      -15.62155449,      -14.07723133
          0,           0,         223,      -15.91420168,      -16.00443754,      -15.66065923,      -14.11854078
          0,           0,         224,      -15.95551175,      -16.04372323,      -15.69969772,      -14.15983823
          0,           0,         225,      -15.99667907,      -16.08394201,      -15.73917957,      -14.20100531
          0,           0,         226,      -16.03792704,      -16.12282444,      -15.77783032,      -14.24226337
