"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     
          0,           0,          76,       -10.0391902,      -9.752002743,      -9.719355559,       -8.27617153
          0,           0,          77,      -10.08546875,      -9.800511638,      -9.767779034,      -8.322085794
          0,           0,          78,      -10.13136205,       -9.84894793,      -9.815734589,      -8.367550843
          0,           0,          79,      -10.17697934,      -9.897347549,      -9.863322785,      -8.412700686
          0,           0,          80,      -10.22226868,      -9.945690923,      -9.910502782,      -8.457479036
          0,           0,          81,       -10.2672005,      -9.993954041,      -9.957274981,      -8.501853717
          0,           0,          82,      -10.31195788,      -10.04218017,      -10.00382701,      -8.546036165
          0,           0,          83,      -10.35677924,      -10.09042952,      -10.05040863,      -8.590298843
          0,           0,          84,      -10.40173394,      -10.13871966,      -10.09716998,      -8.634723268
          0,           0,          85,      -10.44680934,      -10.18703303,      -10.14418528,      -8.679299758
          0,           0,          86,       -10.4920222,      -10.23535851,      -10.19148356,      -8.724044867
          0,           0,          87,      -10.53736432,      -10.28367992,      -10.23906025,      -8.768941676
          0,           0,          88,      -10.58277073,      -10.33197321,      -10.28690365,       -8.81391934
          0,           0,          89,      -10.62817847,      -10.38025117,      -10.33493363,      -8.858912263
          0,           0,          90,      -10.67346353,      -10.42851712,      -10.38294536,      -8.903775823
          0,           0,          91,      -10.71848118,      -10.47674601,      -10.43077034,      -8.948342707
          0,           0,          92,      -10.76327833,      -10.52496626,      -10.47843198,      -8.992672832
          0,           0,          93,      -10.80793657,      -10.57321388,      -10.52590978,      -9.036858187
          0,           0,          94,      -10.85230834,      -10.62143199,      -10.57304232,      -9.080728145
          0,           0,          95,      -10.89637236,      -10.66958144,      -10.61986657,      -9.124265981
          0,           0,          96,      -10.94040409,      -10.71772349,        -10.666577,      -9.167782425
          0,           0,          97,       -10.9844296,       -10.7658685,      -10.71316809,      -9.211295751
          0,           0,          98,      -11.02832725,      -10.81398171,      -10.75968771,      -9.254674974
          0,           0,          99,      -11.07237348,      -10.86216007,      -10.80643611,      -9.298238829
          0,           0,         100,      -11.11667545,      -10.91045832,      -10.85342408,      -9.342092359
          0,           0,         101,      -11.16090321,      -10.95874392,      -10.90049426,       -9.38586291
          0,           0,         102,      -11.20519774,      -11.00703206,      -10.94792367,      -9.429725827
          0,           0,         103,      -11.24980893,      -11.05542222,      -10.99578265,      -9.473952964
          0,           0,         104,      -11.29420271,       -11.1037098,      -11.04352356,      -9.517936417
          0,           0,         105,      -11.33820375,      -11.15180194,      -11.09114542,        -9.5615027
          0,           0,         106,      -11.38237721,      -11.19995716,      -11.13901499,      -9.605284357
          0,           0,         107,      -11.42639538,      -11.24810149,      -11.18655095,      -9.648893711
          0,           0,         108,       -11.4696639,      -11.29599178,      -11.23338746,      -9.691689415
          0,           0,         109,      -11.51290148,       -11.3439135,      -11.28027469,      -9.734487669
          0,           0,         110,      -11.55635709,      -11.39199277,      -11.32705549,      -9.777529733
          0,           0,         111,      -11.59910185,      -11.43980603,      -11.37297383,      -9.819789866
          0,           0,         112,      -11.64161954,      -11.48749494,      -11.41891871,      -9.861839448
          0,           0,         113,      -11.68484825,      -11.53551571,      -11.46544226,      -9.904681216
          0,           0,         114,      -11.72776015,      -11.58342235,      -11.51137709,      -9.947158003
          0,           0,         115,       -11.7701619,      -11.63103632,      -11.55718815,      -9.989104306
          0,           0,         116,      -11.81355798,       -11.6791507,      -11.60429514,      -10.03216127
          0,           0,         117,      -11.85723432,      -11.72750301,       -11.6514451,      -10.07549648
          0,           0,         118,      -11.89993866,      -11.77531106,      -11.69793953,      -10.11778293
          0,           0,         119,      -11.94327127,      -11.82338432,      -11.74572927,      -10.16079608
          0,           0,         120,      -11.98744838,      -11.87199039,      -11.79421059,      -10.20470774
          0,           0,         121,      -12.03032689,      -11.91986082,      -11.84122745,      -10.24720038
          0,           0,         122,      -12.07286907,      -11.96741992,      -11.88852638,      -10.28938817
          0,           0,         123,      -12.11665904,      -12.01577569,      -11.93706612,      -10.33293395
          0,           0,         124,      -12.15950861,      -12.06368537,      -11.98379741,      -10.37543069
          0,           0,         125,      -12.20099134,      -12.11072731,      -12.02936241,       -10.4165075
          0,           0,         126,      -12.24379994,       -12.1586312,      -12.07675982,      -10.45905555
          0,           0,         127,       -12.2867489,      -12.20673973,      -12.12321018,      -10.50170684
