"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     
          0,           0,          76,      -10.02752318,      -10.09199677,      -9.706862281,      -8.231985784
          0,           0,          77,       -10.0691451,      -10.13477128,      -9.749279442,      -8.273578221
          0,           0,          78,      -10.11081398,      -10.17765516,      -9.791645284,      -8.315222665
          0,           0,          79,      -10.15242204,      -10.22049771,      -9.833891447,      -8.356808072
          0,           0,          80,      -10.19398867,      -10.26324357,      -9.876085132,      -8.398355621
          0,           0,          81,      -10.23547408,      -10.30593554,       -9.91821258,      -8.439824595
          0,           0,          82,      -10.27687571,      -10.34848778,       -9.96026659,      -8.481211684
          0,           0,          83,      -10.31820413,      -10.39081141,      -10.00227861,      -8.522527714
          0,           0,          84,      -10.35946125,      -10.43295107,      -10.04422327,      -8.563773461
          0,           0,          85,      -10.40066597,      -10.47494127,      -10.08610369,      -8.604969104
          0,           0,          86,      -10.44182326,      -10.51680683,      -10.12790873,      -8.646118442
          0,           0,          87,      -10.48295149,      -10.55857211,      -10.16964822,      -8.687239371
          0,           0,          88,      -10.52405577,      -10.60031227,      -10.21133536,      -8.728337331
          0,           0,          89,      -10.56515161,       -10.6420538,      -10.25298879,       -8.76942791
          0,           0,          90,       -10.6062249,      -10.68376954,      -10.29460982,      -8.810496865
          0,           0,          91,      -10.64729615,       -10.7254725,      -10.33621943,      -8.851563874
          0,           0,          92,      -10.68837135,      -10.76714587,      -10.37783817,      -8.892635796
          0,           0,          93,      -10.72943752,      -10.80876304,      -10.41944485,      -8.933699205
          0,           0,          94,      -10.77048645,      -10.85030476,      -10.46103005,      -8.974745714
          0,           0,          95,      -10.81151725,      -10.89178148,      -10.50258974,       -9.01577448
          0,           0,          96,       -10.8525277,      -10.93321459,      -10.54411266,      -9.056783567
          0,           0,          97,      -10.89351272,      -10.97462468,      -10.58559386,      -9.097767295
          0,           0,          98,      -10.93447696,      -11.01602332,      -10.62704295,      -9.138730228
          0,           0,          99,      -10.97542607,       -11.0574204,      -10.66846672,      -9.179678882
          0,           0,         100,       -11.0163624,      -11.09880704,      -10.70986374,      -9.220614682
          0,           0,         101,       -11.0572853,      -11.14015661,      -10.75124556,      -9.261536903
          0,           0,         102,      -11.09819294,      -11.18145721,      -10.79260333,      -9.302444281
          0,           0,         103,      -11.13908596,      -11.22271031,      -10.83393583,      -9.343337446
          0,           0,         104,      -11.17995509,      -11.26392471,      -10.87523728,      -9.384206149
          0,           0,         105,      -11.22080565,      -11.30510745,      -10.91650813,      -9.425056508
          0,           0,         106,      -11.26165662,       -11.3462918,      -10.95777045,      -9.465907885
          0,           0,         107,       -11.3025031,      -11.38747779,      -10.99902319,      -9.506754499
          0,           0,         108,      -11.34334475,        -11.428651,      -11.04025991,      -9.547596071
          0,           0,         109,      -11.38419186,      -11.46981397,       -11.0814969,      -9.588443814
          0,           0,         110,      -11.42503198,      -11.51095107,      -11.12271671,      -9.629284566
          0,           0,         111,      -11.46585462,      -11.55206824,      -11.16390377,      -9.670107218
          0,           0,         112,      -11.50666051,      -11.59316343,         -11.20507,      -9.710913619
          0,           0,         113,      -11.54745823,      -11.63424336,      -11.24621911,      -9.751712225
          0,           0,         114,      -11.58824692,       -11.6753172,      -11.28734675,      -9.792501149
          0,           0,         115,      -11.62903129,      -11.71637477,      -11.32847336,      -9.833285922
          0,           0,         116,      -11.66982431,      -11.75742794,      -11.36960506,      -9.874080023
          0,           0,         117,      -11.71061138,      -11.79846687,      -11.41071485,      -9.914867582
          0,           0,         118,      -11.75138439,       -11.8394648,      -11.45180567,      -9.955640765
          0,           0,         119,      -11.79217381,      -11.88047988,      -11.49289159,      -9.996431102
          0,           0,         120,      -11.83294771,      -11.92150643,        -11.533946,      -10.03720569
          0,           0,         121,       -11.8736916,      -11.96250107,      -11.57497968,      -10.07794966
          0,           0,         122,      -11.91445164,      -12.00347937,      -11.61600154,      -10.11871037
          0,           0,         123,      -11.95520961,      -12.04446489,      -11.65702057,      -10.15946932
          0,           0,         124,      -11.99596033,      -12.08542925,      -11.69804803,      -10.20022035
          0,           0,         125,      -12.03672091,       -12.1263477,      -11.73905713,      -10.24098135
          0,           0,         126,      -12.07746429,      -12.16725274,      -11.78005154,      -10.28172573
          0,           0,         127,      -12.11823395,      -12.20816861,      -11.82103989,       -10.3224959
          0,           0,         128,      -12.15899999,      -12.24911579,      -11.86200324,      -10.36326215
          0,           0,         129,      -12.19972312,      -12.29005352,      -11.90294588,      -10.40398613
          0,           0,         130,      -12.24047852,      -12.33095406,      -11.94387229,      -10.44474226
          0,           0,         131,      -12.28122746,      -12.37188644,      -11.98479455,      -10.48549136
          0,           0,         132,      -12.32196825,      -12.41277138,      -12.02571963,      -10.52623285
          0,           0,         133,      -12.36274774,        -12.453638,      -12.06666372,      -10.56701327
          0,           0,         134,      -12.40348221,      -12.49448458,      -12.10756589,      -10.60774788
          0,           0,         135,      -12.44424221,      -12.53526347,      -12.14844409,      -10.64850825
          0,           0,         136,      -12.48505306,      -12.57618907,      -12.18936355,      -10.68932002
          0,           0,         137,      -12.52579907,      -12.61709108,      -12.23021788,      -10.73006626
          0,           0,         138,      -12.56654948,      -12.65789744,       -12.2710534,      -10.77081685
          0,           0,         139,      -12.60735154,      -12.69881197,      -12.31192379,      -10.81161967
          0,           0,         140,      -12.64813021,      -12.73964095,       -12.3527472,      -10.85239884
          0,           0,         141,      -12.68892764,      -12.78048753,      -12.39363269,      -10.89319651
          0,           0,         142,      -12.72972805,      -12.82128036,      -12.43446958,      -10.93399729
          0,           0,         143,      -12.77050046,      -12.86197233,      -12.47524938,      -10.97477032
          0,           0,         144,       -12.8113679,      -12.90287201,       -12.5161218,      -11.01563796
          0,           0,         145,      -12.85219269,      -12.94369187,      -12.55688871,      -11.05646286
          0,           0,         146,      -12.89296842,      -12.98450612,       -12.5976769,      -11.09723928
          0,           0,         147,      -12.93385215,      -13.02535012,      -12.63847193,      -11.13812321
          0,           0,         148,      -12.97469582,      -13.06614008,      -12.67921289,      -11.17896688
          0,           0,         149,      -13.01554873,      -13.10700524,      -12.72004549,      -11.21982048
          0,           0,         150,      -13.05647145,      -13.14774042,      -12.76082256,      -11.26074342
          0,           0,         151,      -13.09728089,      -13.18845065,      -12.80155042,      -11.30155277
          0,           0,         152,      -13.13822518,      -13.22922543,      -12.84232386,      -11.34249737
          0,           0,         153,      -13.17919129,      -13.27004833,      -12.88307065,      -11.38346381
          0,           0,         154,       -13.2200284,      -13.31091637,      -12.92381185,      -11.42430088
          0,           0,         155,      -13.26100331,      -13.35158983,      -12.96450157,      -11.46527568
          0,           0,         156,       -13.3019671,      -13.39247809,      -13.00524846,      -11.50623995
          0,           0,         157,      -13.34292526,      -13.43330312,      -13.04597941,      -11.54719808
          0,           0,         158,      -13.38395969,      -13.47400213,      -13.08671743,       -11.5882325
          0,           0,         159,       -13.4248942,      -13.51481917,      -13.12744851,      -11.62916724
          0,           0,         160,      -13.46592229,      -13.55539343,      -13.16807307,      -11.67019502
          0,           0,         161,      -13.50702922,       -13.5963251,      -13.20886103,      -11.71130214
          0,           0,         162,      -13.54801218,      -13.63714812,      -13.24951423,      -11.75228475
          0,           0,         163,      -13.58906892,       -13.6777633,      -13.29014615,      -11.79334178
          0,           0,         164,      -13.63018546,      -13.71875581,      -13.33091259,      -11.83445794
          0,           0,         165,      -13.67127654,      -13.75941969,      -13.37149592,      -11.87554878
          0,           0,         166,      -13.71242718,      -13.80028264,      -13.41227856,      -11.91669979
          0,           0,         167,      -13.75356183,      -13.84108214,      -13.45296348,      -11.95783364
          0,           0,         168,      -13.79465869,      -13.88157027,      -13.49350336,      -11.99893044
          0,           0,         169,      -13.83591118,      -13.92259016,      -13.53430966,      -12.04018288
          0,           0,         170,      -13.87710891,      -13.96328356,      -13.57486762,      -12.08138011
          0,           0,         171,      -13.91822915,      -14.00406723,      -13.61553001,      -12.12250017
          0,           0,         172,      -13.95952885,      -14.04494614,      -13.65622209,      -12.16379948
          0,           0,         173,       -14.0007633,      -14.08559099,      -13.69675848,      -12.20503351
          0,           0,         174,      -14.04203573,      -14.12663312,      -13.73755895,      -12.24630562
          0,           0,         175,      -14.08338672,      -14.16725521,      -13.77815085,      -12.28765582
          0,           0,         176,      -14.12457292,      -14.20795931,      -13.81875673,      -12.32884202
          0,           0,         177,      -14.16597157,      -14.24881726,       -13.8594387,      -12.37024002
          0,           0,         178,      -14.20737057,      -14.28951161,      -13.90000753,      -12.41163829
          0,           0,         179,      -14.24859712,      -14.33050099,      -13.94069985,      -12.45286495
          0,           0,         180,      -14.29004797,      -14.37109031,      -13.98123809,      -12.49431488
          0,           0,         181,      -14.33143117,      -14.41200918,      -14.02189477,      -12.53569732
          0,           0,         182,      -14.37284307,      -14.45293613,      -14.06255743,        -12.577109
          0,           0,         183,       -14.4143649,      -14.49356161,      -14.10315816,       -12.6186301
          0,           0,         184,      -14.45569696,      -14.53452962,      -14.14385064,      -12.65996041
          0,           0,         185,       -14.4972052,      -14.57503251,      -14.18433368,      -12.70146832
          0,           0,         186,      -14.53876316,      -14.61600353,      -14.22504704,      -12.74302601
          0,           0,         187,      -14.58016424,      -14.65691758,      -14.26563899,      -12.78442691
          0,           0,         188,      -14.62169372,      -14.69743356,      -14.30614131,      -12.82595317
          0,           0,         189,      -14.66323833,       -14.7386007,      -14.34690313,      -12.86749914
          0,           0,         190,      -14.70478481,      -14.77921197,      -14.38736388,      -12.90904362
          0,           0,         191,      -14.74641645,      -14.82017789,       -14.4281159,      -12.95067604
          0,           0,         192,      -14.78796147,      -14.86109298,      -14.46876059,      -12.99222107
          0,           0,         193,      -14.82950046,       -14.9014761,       -14.5091758,      -13.03375662
          0,           0,         194,      -14.87119632,      -14.94267545,      -14.54998905,      -13.07545225
          0,           0,         195,      -14.91279902,      -14.98332198,      -14.59043862,      -13.11705545
          0,           0,         196,      -14.95433683,      -15.02413007,      -14.63105968,      -13.15859196
          0,           0,         197,      -14.99604895,      -15.06516145,      -14.67174061,      -13.20030096
          0,           0,         198,      -15.03768607,      -15.10571682,      -14.71217404,      -13.24193868
          0,           0,         199,      -15.07939646,      -15.14696879,      -14.75301433,      -13.28364529
          0,           0,         200,      -15.12114284,      -15.18761755,       -14.7935365,      -13.32538856
          0,           0,         201,      -15.16269599,      -15.22832133,      -14.83410691,      -13.36694403
          0,           0,         202,      -15.20450258,      -15.26932823,      -14.87480498,      -13.40875617
          0,           0,         203,      -15.24625434,      -15.30992645,      -14.91526956,      -13.45049678
          0,           0,         204,      -15.28781132,      -15.35103709,       -14.9559837,      -13.49205988
          0,           0,         205,      -15.32964071,      -15.39168686,      -14.99649703,      -13.53388461
          0,           0,         206,      -15.37133254,      -15.43260592,      -15.03711031,      -13.57557364
          0,           0,         207,      -15.41309767,      -15.47369938,      -15.07781866,      -13.61734414
          0,           0,         208,      -15.45497899,         -15.51434,      -15.11837717,      -13.65921757
          0,           0,         209,      -15.49659001,      -15.55542532,      -15.15910572,      -13.70082665
